Year,Day,Hour,Minutes,Latitude,Longitude,Altitude,Hdop,Num_of_sats,Individual
21,134,12,0,-32.507335,152.315958,10,0.9,10,UOM2002
21,134,13,0,-32.521183,152.322952,13,0.9,10,UOM2002
21,134,14,0,-32.540237,152.31962,0,0.7,12,UOM2002
21,134,15,0,-32.539722,152.319747,1,0.9,10,UOM2002
21,134,16,0,-32.539951,152.319671,0,0.8,11,UOM2002
21,134,17,0,-32.539944,152.318908,0,0.9,9,UOM2002
21,134,18,0,-32.534585,152.325342,5,0.8,10,UOM2002
21,134,19,0,-32.527229,152.334955,9,0.6,13,UOM2002
21,134,20,0,-32.525302,152.335337,0,0.9,10,UOM2002
21,134,21,0,-32.525353,152.335337,8,0.8,11,UOM2002
21,134,22,0,-32.52541,152.335286,0,0.9,9,UOM2002
21,134,23,0,-32.525302,152.335362,3,1,8,UOM2002
21,135,0,0,-32.527388,152.332743,9,1.1,8,UOM2002
21,135,1,0,-32.525347,152.335337,12,0.9,8,UOM2002
21,135,2,0,-32.52529,152.335464,11,1,7,UOM2002
21,135,3,0,-32.525436,152.335515,0,1.1,7,UOM2002
